24,39,16,NULL,INVALID
26,39,22,NULL,INVALID
8,39,3,NULL,INVALID
15,39,6,NULL,INVALID
17,39,19,NULL,INVALID
25,39,18,NULL,INVALID
4,40,1,1,STILL
1,40,2,2,STILL
13,40,3,3,STILL
21,40,4,4,STILL
9,40,8,5,UP
2,40,7,6,UP
25,40,11,7,UP
8,40,16,8,UP
26,40,18,9,UP
22,40,9,10,DOWN
18,40,10,11,DOWN
3,40,5,12,DOWN
5,40,15,13,UP
14,40,13,14,DOWN
15,40,14,15,DOWN
23,40,20,16,UP
11,40,21,17,UP
19,40,17,18,DOWN
27,40,22,19,UP
16,40,19,NULL,INVALID
17,40,6,NULL,INVALID
24,40,12,NULL,INVALID
1,41,1,1,STILL
2,41,3,2,UP
25,41,19,3,UP
5,41,22,4,UP
8,41,4,5,DOWN
11,41,11,6,UP
4,41,2,7,DOWN
23,41,18,8,UP
17,41,6,9,DOWN
3,41,7,10,DOWN
19,41,17,11,UP
22,41,13,12,UP
15,41,10,NULL,INVALID
24,41,12,NULL,INVALID
27,41,21,NULL,INVALID
14,41,14,NULL,INVALID
9,41,8,NULL,INVALID
16,41,20,NULL,INVALID
26,41,16,NULL,INVALID
18,41,15,NULL,INVALID
13,41,5,NULL,INVALID
21,41,9,NULL,INVALID
1,42,1,1,STILL
4,42,2,2,STILL
13,42,3,3,STILL
8,42,4,4,STILL
5,42,6,5,UP
15,42,8,6,UP
17,42,9,7,UP
20,42,7,8,DOWN
21,42,10,9,UP
25,42,17,10,UP
19,42,16,11,UP
18,42,13,12,UP
26,42,20,13,UP
16,42,21,14,UP
27,42,22,15,UP
3,42,14,16,DOWN
24,42,19,17,UP
2,42,5,NULL,INVALID
11,42,18,NULL,INVALID
14,42,11,NULL,INVALID
22,42,15,NULL,INVALID
23,42,12,NULL,INVALID
8,43,3,1,UP
13,43,1,2,DOWN
1,43,2,3,DOWN
9,43,4,4,STILL
2,43,7,5,UP
21,43,5,6,DOWN
4,43,10,7,UP
18,43,12,8,UP
3,43,9,9,STILL
23,43,11,10,UP
22,43,13,11,UP
17,43,14,12,UP
14,43,16,13,UP
25,43,18,14,UP
5,43,6,15,DOWN
11,43,22,16,UP
16,43,21,17,UP
26,43,15,NULL,INVALID
27,43,20,NULL,INVALID
19,43,19,NULL,INVALID
15,43,8,NULL,INVALID
24,43,17,NULL,INVALID
8,44,2,1,UP
4,44,3,2,UP
1,44,1,3,DOWN
9,44,5,4,UP
13,44,4,5,DOWN
2,44,9,6,UP
5,44,7,7,STILL
21,44,8,8,STILL
22,44,14,9,UP
18,44,18,10,UP
14,44,12,11,UP
3,44,17,12,UP
25,44,13,13,STILL
11,44,21,14,UP
27,44,22,15,UP
24,44,16,16,STILL
15,44,10,NULL,INVALID
19,44,19,NULL,INVALID
26,44,15,NULL,INVALID
23,44,6,NULL,INVALID
16,44,20,NULL,INVALID
17,44,11,NULL,INVALID
4,45,2,1,UP
13,45,3,2,UP
17,45,6,3,UP
25,45,12,4,UP
14,45,20,5,UP
2,45,4,6,DOWN
9,45,5,7,DOWN
5,45,7,8,DOWN
1,45,10,9,UP
21,45,13,10,UP
22,45,14,11,UP
19,45,15,12,UP
15,45,8,13,DOWN
8,45,1,NULL,INVALID
11,45,16,NULL,INVALID
23,45,9,NULL,INVALID
28,45,22,NULL,INVALID
18,45,17,NULL,INVALID
16,45,21,NULL,INVALID
3,45,11,NULL,INVALID
26,45,18,NULL,INVALID
24,45,19,NULL,INVALID
9,46,7,5,UP
13,46,14,13,UP
11,46,19,15,UP
20,46,20,16,UP
16,46,21,17,UP
22,46,18,18,STILL
24,46,16,NULL,INVALID
19,46,15,NULL,INVALID
18,46,17,NULL,INVALID
29,46,22,NULL,INVALID
13,47,1,1,STILL
8,47,3,2,UP
4,47,4,3,UP
2,47,6,4,UP
1,47,2,5,DOWN
5,47,7,6,UP
3,47,8,7,UP
9,47,5,8,DOWN
21,47,10,9,UP
14,47,13,10,UP
25,47,14,11,UP
23,47,16,12,UP
18,47,21,13,UP
19,47,11,14,DOWN
24,47,15,15,STILL
15,47,9,16,DOWN
22,47,22,17,UP
11,47,17,18,DOWN
20,47,18,19,DOWN
29,47,20,20,STILL
16,47,19,21,DOWN
17,47,12,NULL,INVALID
4,48,1,1,STILL
1,48,2,2,STILL
8,48,5,3,UP
2,48,4,4,STILL
9,48,6,5,UP
3,48,8,6,UP
5,48,7,7,STILL
18,48,10,8,UP
17,48,11,9,UP
22,48,12,10,UP
15,48,9,11,DOWN
21,48,15,12,UP
25,48,13,13,STILL
19,48,14,14,STILL
23,48,18,15,UP
11,48,17,16,UP
24,48,19,17,UP
20,48,16,18,DOWN
16,48,21,19,UP
29,48,22,20,UP
13,48,3,NULL,INVALID
14,48,20,NULL,INVALID
8,49,1,1,STILL
13,49,2,2,STILL
4,49,3,3,STILL
1,49,4,4,STILL
2,49,6,5,UP
3,49,5,6,DOWN
17,49,7,7,STILL
5,49,9,8,UP
9,49,14,9,UP
23,49,10,10,STILL
15,49,8,11,DOWN
24,49,13,12,UP
22,49,17,13,UP
16,49,19,14,UP
11,49,18,15,UP
19,49,20,16,UP
29,49,21,17,UP
18,49,12,NULL,INVALID
25,49,15,NULL,INVALID
14,49,11,NULL,INVALID
20,49,16,NULL,INVALID
21,49,22,NULL,INVALID
1,50,1,1,STILL
5,50,11,2,UP
8,50,3,3,STILL
14,50,12,4,UP
21,50,10,5,UP
13,50,4,6,DOWN
9,50,9,7,UP
16,50,20,8,UP
24,50,14,9,UP
22,50,17,10,UP
18,50,6,11,DOWN
29,50,22,12,UP
15,50,13,13,STILL
2,50,5,14,DOWN
11,50,21,15,UP
23,50,15,NULL,INVALID
19,50,19,NULL,INVALID
3,50,16,NULL,INVALID
20,50,8,NULL,INVALID
17,50,7,NULL,INVALID
4,50,2,NULL,INVALID
